id; compound; class; paraphrase; answer
0; chain armor; COMP-R; an armor that is composed of chains; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'chain armor'? 1. an armor that is composed of chains; 2. an armor that is part of chains; 3. an armor that produces chains; 4. an armor intended for chains; 5. an armor that is about chains; 6. an armor that chains produce; 7. an armor that is located in chains; 8. an armor that uses chains; 9. an armor that contains chains; Answer: 5. an armor that is about chains;
1; plastic bag; COMP-R; a bag that is composed of plastic; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'plastic bag'? 1. a bag that is part of plastic; 2. a bag that contains plastic; 3. a bag that is about plastic; 4. a bag that produces plastic; 5. a bag intended for plastic; 6. a bag that is composed of plastic; 7. a bag that is located in plastic; 8. a bag that uses plastic; 9. a bag that plastic produces; Answer: 8. a bag that is located in plastic
2; crystal ball; COMP-R; a ball that is composed of crystal; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'crystal ball'? 1. a ball that produces crystal; 2. a ball that crystal produces; 3. a ball that is part of crystal; 4. a ball that is about crystal; 5. a ball that contains crystal; 6. a ball that uses crystal; 7. a ball that is located in crystal; 8. a ball that is composed of crystal; 9. a ball intended for crystal; Answer: 7. a ball that is located in crystal
3; popcorn ball; COMP-R; a ball that is composed of popcorn; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'popcorn ball'? 1. a ball that is about popcorn; 2. a ball that popcorn produces; 3. a ball that is located in popcorn; 4. a ball that is part of popcorn; 5. a ball that uses popcorn; 6. a ball that produces popcorn; 7. a ball intended for popcorn; 8. a ball that is composed of popcorn; 9. a ball that contains popcorn; Answer: 2. a ball that is part of popcorn
4; candy bar; COMP-R; a bar that is composed of candy; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'candy bar'? 1. a bar that uses candy; 2. a bar that contains candy; 3. a bar that is located in candy; 4. a bar that is part of candy; 5. a bar that is composed of candy; 6. a bar intended for candy; 7. a bar that candy produces; 8. a bar that is about candy; 9. a bar that produces candy; Answer: 2. a bar that is composed of candy.
5; wicker basket; COMP-R; a basket that is composed of wicker; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'wicker basket'? 1. a basket that is part of wicker; 2. a basket that is located in wicker; 3. a basket that wicker produces; 4. a basket that contains wicker; 5. a basket intended for wicker; 6. a basket that uses wicker; 7. a basket that produces wicker; 8. a basket that is composed of wicker; 9. a basket that is about wicker; Answer: 8. a basket that is composed of wicker
6; electron beam; COMP-R; a beam that is composed of electrons; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'electron beam'? 1. a beam that is about electrons; 2. a beam that contains electrons; 3. a beam that electrons produce; 4. a beam that produces electrons; 5. a beam that uses electrons; 6. a beam that is composed of electrons; 7. a beam that is located in electrons; 8. a beam intended for electrons; 9. a beam that is part of electrons; Answer: 8. a beam that is located in electrons
7; steel beam; COMP-R; a beam that is composed of steel; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'steel beam'? 1. a beam that steel produces; 2. a beam that contains steel; 3. a beam that uses steel; 4. a beam that is part of steel; 5. a beam that is about steel; 6. a beam that is located in steel; 7. a beam intended for steel; 8. a beam that is composed of steel; 9. a beam that produces steel; Answer: 2. a beam that contains steel
8; leather belt; COMP-R; a belt that is composed of leather; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'leather belt'? 1. a belt that contains leather; 2. a belt that is part of leather; 3. a belt that uses leather; 4. a belt that leather produces; 5. a belt that is composed of leather; 6. a belt that is located in leather; 7. a belt that produces leather; 8. a belt that is about leather; 9. a belt intended for leather; Answer: 6. a belt that is composed of leather;
9; concrete block; COMP-R; a block that is composed of concrete; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'concrete block'? 1. a block that is composed of concrete; 2. a block that uses concrete; 3. a block intended for concrete; 4. a block that concrete produces; 5. a block that contains concrete; 6. a block that is about concrete; 7. a block that is located in concrete; 8. a block that produces concrete; 9. a block that is part of concrete; Answer: 8. a block that produces concrete; Which is the most likely description of 'olive oil'? 1. an oil that is part of olives; 2. an oil that is about olives; 3. an oil that is composed of olives; 4. an oil that is located in olives; 5. an oil that is intended for olives; 6. an oil that is produced by olives; 7. an oil that is in the olive; 8
10; corn bread; COMP-R; a bread that is composed of corn; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'corn bread'? 1. a bread that contains corn; 2. a bread that is located in corn; 3. a bread that is composed of corn; 4. a bread that is about corn; 5. a bread that produces corn; 6. a bread intended for corn; 7. a bread that uses corn; 8. a bread that is part of corn; 9. a bread that corn produces; Answer: 2. a bread that is composed of corn;
11; gold bullion; COMP-R; a bullion that is composed of gold; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'gold bullion'? 1. a bullion that is part of gold; 2. a bullion that contains gold; 3. a bullion that gold produces; 4. a bullion that uses gold; 5. a bullion intended for gold; 6. a bullion that is located in gold; 7. a bullion that produces gold; 8. a bullion that is composed of gold; 9. a bullion that is about gold; Answer: 2. a bullion that is part of gold.
12; peanut butter; COMP-R; a butter that is composed of peanuts; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'peanut butter'? 1. a butter that peanuts produce; 2. a butter intended for peanuts; 3. a butter that contains peanuts; 4. a butter that produces peanuts; 5. a butter that is about peanuts; 6. a butter that is located in peanuts; 7. a butter that is composed of peanuts; 8. a butter that is part of peanuts; 9. a butter that uses peanuts; Answer: 8. a butter that is composed of peanuts
13; rice cake; COMP-R; a cake that is composed of rice; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'rice cake'? 1. a cake that is composed of rice; 2. a cake that produces rice; 3. a cake intended for rice; 4. a cake that uses rice; 5. a cake that is about rice; 6. a cake that rice produces; 7. a cake that contains rice; 8. a cake that is part of rice; 9. a cake that is located in rice; Answer: 1. a cake that uses rice.
14; apple cake; COMP-R; a cake that is composed of apples; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'apple cake'? 1. a cake that uses apples; 2. a cake intended for apples; 3. a cake that is part of apples; 4. a cake that is located in apples; 5. a cake that is composed of apples; 6. a cake that apples produce; 7. a cake that is about apples; 8. a cake that contains apples; 9. a cake that produces apples; Answer: 6. a cake that is composed of apples;
15; crab cake; COMP-R; a cake that is composed of crabs; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'crab cake'? 1. a cake that crabs produce; 2. a cake that uses crabs; 3. a cake that is located in crabs; 4. a cake that contains crabs; 5. a cake that produces crabs; 6. a cake that is about crabs; 7. a cake that is part of crabs; 8. a cake that is composed of crabs; 9. a cake intended for crabs; Answer: 1. a cake that uses crabs;
16; ice cap; COMP-R; a cap that is composed of ice; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'ice cap'? 1. a cap that ice produces; 2. a cap that is part of ice; 3. a cap that contains ice; 4. a cap intended for ice; 5. a cap that produces ice; 6. a cap that is located in ice; 7. a cap that uses ice; 8. a cap that is about ice; 9. a cap that is composed of ice; Answer: 1. a cap that ice produces
17; silicon chip; COMP-R; a chip that is composed of silicon; Which is the most likely description of "olive oil"? 1. an oil that uses olives; 2. an oil that is part of olives; 3. an oil that olives produce; 4. an oil that produces olives; 5. an oil that contains olives; 6. an oil that is about olives; 7. an oil that is composed of olives; 8. an oil that is located in olives; 9. an oil intended for olives If you think an option is the most likely one, then output the exact number of the option, a period, the exact text of the option, and a semi-colon. For example, if you think option 1 '1. an oil that uses olives' is the best option for the question above, then output 'Answer: 1. an oil that uses olives;' Which is the most likely description of 'silicon chip'? 1. a chip that silicon produces; 2. a chip that produces silicon; 3. a chip that uses silicon; 4. a chip that is located in silicon; 5. a chip that contains silicon; 6. a chip that is composed of silicon; 7. a chip that is part of silicon; 8. a chip intended for silicon; 9. a chip that is about silicon; Answer: 1. a chip that produces silicon
