id	compound	class	paraphrase	correct	score
0	布鞋	COMP-R	布鞋是布做成的鞋	1	4.4633259773254395
0	布鞋	CONT-R	布鞋是装布的鞋	0	5.506925582885742
0	布鞋	CONT-R	布鞋是有布的鞋	0	5.5265398025512695
0	布鞋	PARTONOMY	布鞋是布的鞋	0	4.93280553817749
0	布鞋	USG-R	布鞋是用布的鞋	0	5.250558853149414
0	布鞋	PRODUCTION	布鞋是生产布的鞋	0	5.477560997009277
0	布鞋	TOPIC-R	布鞋是关于布的鞋	0	4.981194496154785
0	布鞋	PURPOSE	布鞋是为布设计的鞋	0	6.45942497253418
0	布鞋	PURPOSE	布鞋是为布设立的鞋	0	7.002605438232422
0	布鞋	LOCATION	布鞋是在布上的鞋	0	5.655210494995117
0	布鞋	LOCATION	布鞋是在布边的鞋	0	6.587412357330322
0	布鞋	LOCATION	布鞋是在布里的鞋	0	6.404826641082764
0	布鞋	LOCATION	布鞋是在布中的鞋	0	6.403762340545654
0	布鞋	PROD-R	布鞋是布产生的鞋	0	5.87607479095459
0	布鞋	PROD-R	布鞋是布发出的鞋	0	6.142602920532227
1	钢板	COMP-R	钢板是钢做成的板	1	4.591704368591309
1	钢板	CONT-R	钢板是装钢的板	0	5.6775946617126465
1	钢板	CONT-R	钢板是有钢的板	0	5.620546340942383
1	钢板	PARTONOMY	钢板是钢的板	0	4.472166061401367
1	钢板	USG-R	钢板是用钢的板	0	5.4701972007751465
1	钢板	PRODUCTION	钢板是生产钢的板	0	4.883567810058594
1	钢板	TOPIC-R	钢板是关于钢的板	0	5.108138084411621
1	钢板	PURPOSE	钢板是为钢设计的板	0	7.225200653076172
1	钢板	PURPOSE	钢板是为钢设立的板	0	7.929556846618652
1	钢板	LOCATION	钢板是在钢上的板	0	6.532800674438477
1	钢板	LOCATION	钢板是在钢边的板	0	7.452851295471191
1	钢板	LOCATION	钢板是在钢里的板	0	7.090915203094482
1	钢板	LOCATION	钢板是在钢中的板	0	6.114555358886719
1	钢板	PROD-R	钢板是钢产生的板	0	5.508983135223389
1	钢板	PROD-R	钢板是钢发出的板	0	6.188576698303223
2	铁道	COMP-R	铁道是铁做成的道	1	5.680906295776367
2	铁道	CONT-R	铁道是装铁的道	0	5.569417953491211
2	铁道	CONT-R	铁道是有铁的道	0	6.676511764526367
2	铁道	PARTONOMY	铁道是铁的道	0	5.865050315856934
2	铁道	USG-R	铁道是用铁的道	0	6.34937858581543
2	铁道	PRODUCTION	铁道是生产铁的道	0	6.423591136932373
2	铁道	TOPIC-R	铁道是关于铁的道	0	6.086577415466309
2	铁道	PURPOSE	铁道是为铁设计的道	0	8.510261535644531
2	铁道	PURPOSE	铁道是为铁设立的道	0	8.398860931396484
2	铁道	LOCATION	铁道是在铁上的道	0	6.7827301025390625
2	铁道	LOCATION	铁道是在铁边的道	0	8.144102096557617
